,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
521,Como chegamos a Paris e outras narrativas,"Published January 1, 2023",Ernest Hemingway,,2.00,1 rating,Paperback,13,Portuguese,,
522,Las nieves del Kilimanjaro ; Los asesinos,"Published January 1, 1968",Ernest Hemingway,,2.00,1 rating,Paperback,14,,,
523,"De oude man en de zee, en 25 korte verhalen","Published January 1, 1965",Ernest Hemingway,,2.00,1 rating,"453 pages, Unknown Binding",16,,,
524,රතු ඉන්දියානු වාඩිය හා තවත් හෙමිංග්වේගේ කෙටිකතා,"Published January 1, 2019",Ernest Hemingway,,2.00,1 rating,"112 pages, Paperback",23,Sinhala; Sinhalese,,
525,The Greatest American Short Stories: 50+ Classics of American Literature,"Published October 26, 2020",Ernest Hemingway,,2.00,1 rating,"1289 pages, Kindle Edition",25,,,
526,海明威精选集（老人与海+太阳照常升起+永别了，武器+乞力马扎罗的雪）（套装共4册）,"Published May 1, 2014",Ernest Hemingway,,2.00,1 rating,Kindle Edition,26,,,
527,Present Day American Stories,"Published January 1, 1929",Ernest Hemingway,,1.00,1 rating,"345 pages, Hardcover",8,,,
528,In Our Time: Five Short Stories,"Published December 19, 2024",Ernest Hemingway,,0.00,0 ratings,"84 pages, Hardcover",10,English,,
529,Fisker og forfatter - Ernest Hemingway i utvalg,"Published January 1, 1999",Ernest Hemingway,,0.00,0 ratings,"236 pages, Hardcover",12,Norwegian,,
530,Собрание сочинений. В 7 томах. Том 2.,"Published January 1, 2009",Ernest Hemingway,,0.00,0 ratings,Hardcover,13,Russian,,
531,At the End of the Ambulance Run,"Published October 30, 2010",Ernest Hemingway,,0.00,0 ratings,Kindle Edition,16,,,
532,Noveller,"Published January 1, 1985",Ernest Hemingway,,0.00,0 ratings,"496 pages, Hardcover",17,Norwegian,,
533,"The Lost Generation: Ernest Hemingway, Francis Scott Fitzgerald, Richard Aldington, Henri Barbusse","Published August 11, 2020",Ernest Hemingway,,0.00,0 ratings,"1391 pages, Kindle Edition",19,,,
534,"The Abridged Version of ""Three Stories & Ten Poems""","Published July 2, 2020",Ernest Hemingway,,0.00,0 ratings,Kindle Edition,20,,,
535,49 Stories - Bd. 2: Männer ohne Frauen. Der Sieger geht leer aus,"Published January 1, 1977",Ernest Hemingway,,0.00,0 ratings,"304 pages, Paperback",21,,,
536,The Complete Short Stories of Hemingway (Korean Edition) Book 2.,"Published January 1, 2013",Ernest Hemingway,,0.00,0 ratings,Paperback,22,English,,
537,"Vándorünnep / Tavaszi zuhatag / Az ötödik hadoszlop / Cikkek, vallomások","Published January 1, 1971",Ernest Hemingway,,0.00,0 ratings,"714 pages, Hardcover",24,,,
538,Œuvres romanesques Tome I,"Published January 1, 1966",Ernest Hemingway,,0.00,0 ratings,"1968 pages, Hardcover",27,French,,
539,Rivers Parting,"Published June 7, 2019",Ernest Hemingway,,0.00,0 ratings,"287 pages, Kindle Edition",28,,,
540,Opere volume II,"Published October 1, 1962",Ernest Hemingway,,0.00,0 ratings,"1417 pages, Hardcover",29,,,
541,Gesammelte Werke,"Published January 1, 1977",Ernest Hemingway,,0.00,0 ratings,Hardcover,30,German,,
542,The Old Man and the Sea: The Graphic Novel,"Published March 24, 2021",Ernest Hemingway,,0.00,0 ratings,"88 pages, Kindle Edition",1,,,
543,In Our Time: Five Short Stories,"Published December 19, 2024",Ernest Hemingway,,0.00,0 ratings,"84 pages, Hardcover",2,English,,
544,FOR WHOM THE BELL TOLLS / THE SUN ALSO RISES / A FAREWELL TO ARMS / TO HAVE AND TO HAVE NOT / THE MAN AND THE SEA,"Published January 1, 2008",Ernest Hemingway,,0.00,0 ratings,Hardcover,3,Bosnian,,
545,Muzhchiny bez zhenshchin [Men without Women],"Published January 1, 2009",Ernest Hemingway,,0.00,0 ratings,Paperback,4,Russian,,
546,One hundred words cut Reading Program: The Old Man,"Published December 1, 2016",Ernest Hemingway,,0.00,0 ratings,Paperback,5,,,
547,Cinquante Mille Dollars et Autres Nouvelles / Fifty Grand and Other Short Stories (Bilingual Edition in French and English),"Published January 1, 2002",Ernest Hemingway,,0.00,0 ratings,Paperback,6,English,,
548,The Old Man and the Sea/Extracurricular Reading Series for Youngsters,"Published July 1, 2011",Ernest Hemingway,,0.00,0 ratings,"142 pages, Paperback",8,Chinese,,
549,Paris était une fête: une nouvelle du grand maître Ernest Hemingway,"Published May 4, 2022",Ernest Hemingway,,0.00,0 ratings,"144 pages, Hardcover",9,French,,
550,Po kom zvonyat kolokola voyny,"Published January 1, 2011",Ernest Hemingway,,0.00,0 ratings,Hardcover,10,Russian,,
551,Gamli maðurin og havið,"Published January 1, 2021",Ernest Hemingway,,0.00,0 ratings,"1 pages, Hardcover",11,Faroese,,
552,The Collected Stories of Ernest Hemingway,"Published April 1, 2017",Ernest Hemingway,,0.00,0 ratings,"475 pages, Hardcover",15,Chinese,,
553,Rivers Parting,"Published June 7, 2019",Ernest Hemingway,,0.00,0 ratings,"287 pages, Kindle Edition",16,,,
554,The Killer : A short story,"Published March 30, 2021",Ernest Hemingway,,0.00,0 ratings,Kindle Edition,17,,,
555,Fisker og forfatter - Ernest Hemingway i utvalg,"Published January 1, 1999",Ernest Hemingway,,0.00,0 ratings,"236 pages, Hardcover",19,Norwegian,,
556,Собрание сочинений. В 7 томах. Том 2.,"Published January 1, 2009",Ernest Hemingway,,0.00,0 ratings,Hardcover,20,Russian,,
557,At the End of the Ambulance Run,"Published October 30, 2010",Ernest Hemingway,,0.00,0 ratings,Kindle Edition,23,,,
558,Noveller,"Published January 1, 1985",Ernest Hemingway,,0.00,0 ratings,"496 pages, Hardcover",24,Norwegian,,
559,Best Sellers Reader Digest Condensed Books,"Published January 1, 1985",Ernest Hemingway,,0.00,0 ratings,Hardcover,26,Japanese,,
560,"The Lost Generation: Ernest Hemingway, Francis Scott Fitzgerald, Richard Aldington, Henri Barbusse","Published August 11, 2020",Ernest Hemingway,,0.00,0 ratings,"1391 pages, Kindle Edition",27,,,
561,"The Abridged Version of ""Three Stories & Ten Poems""","Published July 2, 2020",Ernest Hemingway,,0.00,0 ratings,Kindle Edition,28,,,
562,49 Stories - Bd. 2: Männer ohne Frauen. Der Sieger geht leer aus,"Published January 1, 1977",Ernest Hemingway,,0.00,0 ratings,"304 pages, Paperback",29,,,
563,A capital do mundo: uma antologia de histórias que todo leitor de Hemingway deve ler.,"Published August 27, 2021",Ernest Hemingway,,0.00,0 ratings,"27 pages, Paperback",1,Portuguese,,
564,"The Collected Works: Novels, Short Stories & Poems: The Sun Also Rises, A Farewell to Arms, For Whom the Bell Tolls…","Published March 23, 2023",Ernest Hemingway,,0.00,0 ratings,"2624 pages, Kindle Edition",3,English,,
565,"Ernest Hemingway: Collected Works: The Old Man and the Sea, The Sun Also Rises, A Farewell to Arms, For Whom the Bell Tolls and more","Published March 23, 2023",Ernest Hemingway,,0.00,0 ratings,"2624 pages, Kindle Edition",4,English,,
566,Antique Rare Une Vie by Guy De Maupassant ~ The Folio Society ~ Hardcover Novel [Hardcover] Ernest Hemingway,"Published January 1, 1800",Ernest Hemingway,,0.00,0 ratings,"299 pages, Hardcover",5,,,
567,"Ernest Hemingway's Apprenticeship, Oak Park, 1916-1917","Published January 1, 1971",Ernest Hemingway,,0.00,0 ratings,Hardcover,7,,,
568,Le Soleil Se Leve Aussi,"Published January 1, 1964",Ernest Hemingway,,0.00,0 ratings,Hardcover,8,,,
569,"Ernest Hemingway: Selected Works : Three Stories & Ten Poems, In Our Time, The Torrents of Spring, The Sun Also Rises","Published January 13, 2023",Ernest Hemingway,,0.00,0 ratings,"344 pages, Kindle Edition",9,English,,
570,The Unpublished Letters (also Hemingway: the Man and the Writer By Joseph North-- American Dialog October-November 1964,"Published January 1, 1964",Ernest Hemingway,,0.00,0 ratings,Paperback,11,,,
571,Pour qui sonne le glas tome un et deux --- 2 volumes,"Published January 1, 1972",Ernest Hemingway,,0.00,0 ratings,Paperback,12,,,
572,Aparajey,"Published January 1, 2013",Ernest Hemingway,,0.00,0 ratings,Paperback,13,Gujarati,,
573,Cinquante mille dollars - Le Soleil se lève aussi - En avoir... ou pas - Paris est une fête,"Published March 1, 2000",Ernest Hemingway,,0.00,0 ratings,"992 pages, Pocket Book",14,French,,
574,Lo agüelo y lo Mar: en CHAPURRIAU.,"Published August 25, 2021",Ernest Hemingway,,0.00,0 ratings,"100 pages, Paperback",15,,,
575,The Torrents of Spring: With the Introductory Essay 'The Jazz Age Literature of the Lost Generation',"Published September 26, 2022",Ernest Hemingway,,0.00,0 ratings,"91 pages, Kindle Edition",16,English,,
576,FOR WHOM THE BELL TOLLS / THE SUN ALSO RISES / A FAREWELL TO ARMS / TO HAVE AND TO HAVE NOT / THE MAN AND THE SEA,"Published January 1, 2008",Ernest Hemingway,,0.00,0 ratings,Hardcover,17,Bosnian,,
577,One hundred words cut Reading Program: The Old Man,"Published December 1, 2016",Ernest Hemingway,,0.00,0 ratings,Paperback,19,,,
578,Cinquante Mille Dollars et Autres Nouvelles / Fifty Grand and Other Short Stories (Bilingual Edition in French and English),"Published January 1, 2002",Ernest Hemingway,,0.00,0 ratings,Paperback,20,English,,
579,The Old Man and the Sea/Extracurricular Reading Series for Youngsters,"Published July 1, 2011",Ernest Hemingway,,0.00,0 ratings,"142 pages, Paperback",22,Chinese,,
580,Paris était une fête: une nouvelle du grand maître Ernest Hemingway,"Published May 4, 2022",Ernest Hemingway,,0.00,0 ratings,"144 pages, Hardcover",23,French,,
581,Po kom zvonyat kolokola voyny,"Published January 1, 2011",Ernest Hemingway,,0.00,0 ratings,Hardcover,24,Russian,,
582,Gamli maðurin og havið,"Published January 1, 2021",Ernest Hemingway,,0.00,0 ratings,"1 pages, Hardcover",25,Faroese,,
583,OPASNO LETO,"Published January 1, 1988",Ernest Hemingway,,0.00,0 ratings,Paperback,28,Serbian,,
584,The Greatest Short Stories of Ernest Hemingway: 50 Stories in One Volume,"Published March 23, 2023",Ernest Hemingway,,0.00,0 ratings,"632 pages, Kindle Edition",29,English,,
585,The Collected Stories of Ernest Hemingway,"Published April 1, 2017",Ernest Hemingway,,0.00,0 ratings,"475 pages, Hardcover",30,Chinese,,
586,Mahalla saha muhuda,"Published January 1, 1983",Ernest Hemingway,,0.00,0 ratings,"144 pages, Paperback",1,,,
587,Pour Qui Sonne Le Glas: Tome II.,"Published January 1, 1973",Ernest Hemingway,,0.00,0 ratings,Hardcover,3,,,
588,"The Hemingway Review, Vol. VII, No. 2","Published January 1, 1988",Ernest Hemingway,,0.00,0 ratings,Paperback,5,,,
589,Le vieil homme et la mer.,"Published January 1, 1952",Ernest Hemingway,,0.00,0 ratings,Paperback,6,,,
590,Works of Ernest Hemingway,"Published January 1, 1990",Ernest Hemingway,,0.00,0 ratings,Hardcover,7,,,
591,The Enduring Hemingway,"Published January 1, 1971",Ernest Hemingway,,0.00,0 ratings,Hardcover,8,,,
592,"Three Unpublished Stories. IN: The New York Times Magazine, August 18, 1985. Offered complete.","Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Paperback,9,,,
593,"The First Forty Nine Stories, Limited Edition","Published January 1, 1977",Ernest Hemingway,,0.00,0 ratings,Hardcover,10,,,
594,The Killers ; In another country ; A canary for one,"Published January 1, 1927",Ernest Hemingway,,0.00,0 ratings,Unknown Binding,11,,,
595,London fights the robots,"Published January 1, 1944",Ernest Hemingway,,0.00,0 ratings,Unknown Binding,12,,,
596,Hemingway's Spanish Civil War dispatches,"Published January 1, 1988",Ernest Hemingway,,0.00,0 ratings,Unknown Binding,13,,,
597,Hemingway-Secme Öyküler,"Published January 1, 2015",Ernest Hemingway,,0.00,0 ratings,Hardcover,14,Turkish,,
598,Pour qui sonne le glas - tome premier et second,"Published January 1, 1955",Ernest Hemingway,,0.00,0 ratings,Board Book,15,,,
599,WITH HEMINGWAY: A Year in Key West and Cuba.,"Published January 1, 1984",Ernest Hemingway,,0.00,0 ratings,Paperback,17,,,
600,The First 49 Stories,"Published January 1, 1962",Ernest Hemingway,,0.00,0 ratings,Hardcover,18,,,
601,The Hemingway Reader - with a Foreward and Twelve Brief Prefaces by Charles Poore Paperback Edition,"Published January 1, 1968",Ernest Hemingway,,0.00,0 ratings,Paperback,19,,,
602,IN OUR TIME. Stories. Volume 6 in Modern Masterpieces in English Series.,"Published January 1, 1932",Ernest Hemingway,,0.00,0 ratings,Paperback,20,,,
603,Nouvelles et récits / 32 illustrations,"Published January 1, 1963",Ernest Hemingway,,0.00,0 ratings,Board Book,21,,,
604,The Old Man and The Sea; Facsimile Reprint of 1st Ed in DJ and Slipcase,"Published January 1, 1980",Ernest Hemingway,,0.00,0 ratings,Hardcover,22,,,
605,Death In The Aftenoon,"Published January 1, 1932",Ernest Hemingway,,0.00,0 ratings,Hardcover,23,,,
606,"Vatan Sana Ne Der? (Turkish translation of Hemingway short story ""Che ti dice la Patria?"").","Published January 1, 1954",Ernest Hemingway,,0.00,0 ratings,Paperback,24,,,
607,Wisdom Magazine Twenty-Sixth Issue. Volume 3 Number 26. Ernest Hemingway Cover,"Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Paperback,25,,,
608,"The Collected Works: Novels, Short Stories & Poems: The Sun Also Rises, A Farewell to Arms, For Whom the Bell Tolls…","Published March 23, 2023",Ernest Hemingway,,0.00,0 ratings,"2624 pages, Kindle Edition",27,English,,
609,"Ernest Hemingway: Collected Works: The Old Man and the Sea, The Sun Also Rises, A Farewell to Arms, For Whom the Bell Tolls and more","Published March 23, 2023",Ernest Hemingway,,0.00,0 ratings,"2624 pages, Kindle Edition",28,English,,
610,Antique Rare Une Vie by Guy De Maupassant ~ The Folio Society ~ Hardcover Novel [Hardcover] Ernest Hemingway,"Published January 1, 1800",Ernest Hemingway,,0.00,0 ratings,"299 pages, Hardcover",29,,,
611,The Greatest Short Stories of Ernest Hemingway: 50 Stories in One Volume,"Published March 23, 2023",Ernest Hemingway,,0.00,0 ratings,"632 pages, Kindle Edition",30,English,,
612,OAR I STROMMEN,"Published January 1, 1971",Ernest Hemingway,,0.00,0 ratings,Hardcover,1,,,
613,Komu Zvoni Hrana.,"Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Hardcover,2,,,
614,"SCRIBNER'S MAGAZINE. JANUARY, 1937.","Published January 1, 1937",Ernest Hemingway,,0.00,0 ratings,Paperback,3,,,
615,"HEARST'S INTERNATIONAL- COSMOPOLITAN. APRIL, 1934.","Published January 1, 1934",Ernest Hemingway,,0.00,0 ratings,Paperback,4,,,
616,El viejo y el mar ; Adiós a las armas ; Las verdes colinas de Africa,"Published January 1, 1978",Ernest Hemingway,,0.00,0 ratings,Hardcover,5,Spanish; Castilian,,
617,"Hemingway 6-Volume Collier Set: For Whom the Bell Tolls, The Sun Also Rises, Death in the Afternoon,The Fifth Column and the First Forty-Nine Stories, To Have and Have Not, A Farewell to Arms","Published January 1, 1940",Ernest Hemingway,,0.00,0 ratings,Hardcover,6,,,
618,The Old Man and the Sea [In Japanese Language],"Published January 1, 1966",Ernest Hemingway,,0.00,0 ratings,"134 pages, Paperback",7,,,
619,Winner Take Nothing.,"Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Hardcover,8,,,
620,Paradis perdu,"Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Mass Market Paperback,9,,,
621,The Circus,"Published January 1, 1953",Ernest Hemingway,,0.00,0 ratings,Hardcover,10,,,
622,"Classic Literature Lot: ""The Great Gatsby,"" ""All Quiet on the Western Front,"" ""The Sun Also Rises,"" ""Siddhartha.""","Published January 1, 1995",Ernest Hemingway,,0.00,0 ratings,Paperback,11,,,
623,Nobody Ever Dies! in Hearst's International Combined with Cosmopolitan:,"Published January 1, 1939",Ernest Hemingway,,0.00,0 ratings,Paperback,12,,,
624,PERA APTO POTAMI KAI KATO APTA THENDRA,"Published January 1, 1966",Ernest Hemingway,,0.00,0 ratings,Hardcover,14,,,
625,The Sun Also Rises : with illustrations,"Published January 13, 2022",Ernest Hemingway,,0.00,0 ratings,"254 pages, Kindle Edition",15,,,
626,"Sov sodt, mine Herrer","Published January 1, 1955",Ernest Hemingway,,0.00,0 ratings,Paperback,17,,,
627,"14 Vintage Classics--A Moveable Feast, Vergil The Aeneid, Camelot T H White's The Once and Future King, Charles Dickens Oliver Twist, William Shakespeare Twelfth Night, The Folger Library General Readers Shakespeare Henry IV Part I, The Red Badge of Coura","Published January 1, 1970",Ernest Hemingway,,0.00,0 ratings,Paperback,19,,,
628,"KEN the Insider's World Magazine April 21st, 1938 VOL. 1. NO. 2 What Price English Justice?","Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Paperback,20,,,
629,An Alpine Idyll - First Book Publication in The American Caravan,"Published January 1, 1927",Ernest Hemingway,,0.00,0 ratings,Hardcover,21,,,
630,NOTES ON THE NEXT WAR.,"Published January 1, 1935",Ernest Hemingway,,0.00,0 ratings,Paperback,22,,,
631,"Give Us A Prescription, Doctor in Scribner's Magazine","Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Paperback,23,,,
632,Short Stories 1st (first) edition Text Only,"Published January 1, 1995",Ernest Hemingway,,0.00,0 ratings,Paperback,24,,,
633,"Original Souvenir Book For A Farewell To Arms. David O. Selznick Presents his Production, starring Rock Hudson, Jennifer Jones, Vittorio De Sica, Screenplay by Ben Hecht, Directed by Charles Vidor, Distributed by Twentieth Century-Fox.","Published January 1, 1957",Ernest Hemingway,,0.00,0 ratings,Paperback,25,,,
634,Thien Dang Da Mat: Nguyen Hiru Hieu Dich,"Published January 1, 1969",Ernest Hemingway,,0.00,0 ratings,Paperback,26,,,
635,Nguoi linh tro ve: Nguyen Hiru Hieu Dich,"Published January 1, 1969",Ernest Hemingway,,0.00,0 ratings,Paperback,27,,,
636,Pour Qui Sonne Le Glas: Tome II.,"Published January 1, 1973",Ernest Hemingway,,0.00,0 ratings,Hardcover,28,,,
637,"The Hemingway Review, Vol. VII, No. 2","Published January 1, 1988",Ernest Hemingway,,0.00,0 ratings,Paperback,30,,,
638,Pres Reku A Do Lesu.,"Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Hardcover,1,,,
